InstanceID	N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	M0P0	M0P1	Class
49	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	0	2	0	0	1	1
50	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	4
51	0	1	0	0	1	0	0	2	0	2	1	1	2	1	1	1	1	0	1	0	3
52	0	0	0	1	1	0	0	2	0	1	0	2	1	1	0	1	1	0	1	2	5
53	0	1	0	1	1	0	1	1	0	0	0	0	1	2	1	0	1	0	2	1	7
54	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	1	2	1	7
55	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	0	1	0	2	1	7
56	0	0	0	0	1	0	2	1	1	2	2	1	1	1	1	0	1	0	0	0	0
57	0	0	0	1	2	0	0	0	0	1	1	0	2	2	1	0	1	0	1	1	4
58	0	0	0	1	1	0	0	0	0	2	1	0	1	0	1	0	0	0	2	0	6
59	0	0	0	0	2	0	0	1	0	0	1	1	2	0	1	0	1	0	2	0	6
60	0	0	0	1	1	0	0	1	0	0	2	1	1	1	2	0	0	0	1	1	4
61	0	1	0	0	1	0	0	2	0	1	1	0	0	0	1	0	0	0	1	0	3
62	1	1	0	0	1	0	0	1	0	0	1	2	0	2	0	0	0	0	0	0	0
63	0	0	0	1	1	0	1	1	1	0	1	0	1	0	2	1	0	0	1	2	5
64	0	1	1	0	0	0	0	1	0	2	0	1	0	0	1	1	1	1	0	0	0
65	0	1	0	1	2	0	0	2	0	1	1	1	0	0	2	0	1	1	2	2	8
66	0	1	0	0	1	1	1	1	0	1	1	0	0	1	1	2	0	0	1	1	4
67	1	1	0	0	1	0	0	0	0	1	0	1	0	2	1	0	0	1	0	2	2
68	0	0	0	0	2	0	0	0	0	1	1	0	0	2	1	0	2	1	2	1	7
69	0	0	0	1	1	0	1	0	0	1	1	0	1	1	2	1	1	0	0	1	1
70	1	1	1	1	1	0	0	1	0	1	1	2	2	0	1	0	0	0	1	0	3
71	0	0	1	2	1	0	0	0	1	1	1	0	1	1	2	0	0	0	2	0	6
72	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	3
73	0	0	0	1	1	0	0	2	0	1	2	1	1	1	1	0	1	0	1	1	4
74	0	1	0	0	0	1	0	1	0	0	0	0	2	0	2	0	1	0	2	2	8
75	0	1	0	1	1	0	0	1	0	1	0	0	0	2	1	1	0	0	0	1	1
76	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	1	0	2	0	6
77	0	0	0	0	1	0	1	0	0	0	0	2	2	1	1	0	0	0	0	1	1
78	0	2	1	1	0	0	1	1	0	1	1	1	0	2	0	1	0	0	1	1	4
79	0	2	1	1	0	1	0	0	1	0	1	0	1	1	1	0	2	0	1	0	3
80	0	1	1	1	2	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	4
81	0	0	0	1	2	0	0	1	1	1	1	0	0	0	0	0	1	0	1	2	5
82	0	0	0	1	1	0	0	1	1	0	0	0	1	1	2	0	1	0	0	1	1
83	0	0	0	0	2	0	1	1	0	0	0	1	1	1	1	1	0	1	2	1	7
84	0	0	0	0	1	0	1	1	0	0	0	0	1	2	1	0	0	0	2	1	7
85	0	1	0	1	1	0	0	2	0	0	0	0	0	1	1	0	0	0	1	1	4
86	0	0	1	2	1	0	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0
87	0	1	0	0	1	0	0	1	0	1	1	2	2	1	1	0	0	1	1	1	4
88	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	4
89	0	0	1	1	2	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	3
90	1	1	0	2	1	0	0	1	0	0	0	1	1	2	1	0	0	0	0	1	1
91	0	0	0	1	0	0	0	2	0	1	2	1	1	1	2	0	0	1	1	1	4
92	0	1	0	1	0	0	1	1	0	1	0	0	2	2	1	0	0	0	1	1	4
93	0	0	0	0	1	1	0	2	0	0	0	1	1	1	1	0	1	1	2	2	8
94	0	0	0	2	0	0	1	1	0	1	1	0	0	1	0	1	0	0	2	0	6
95	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	2	1	2	1	7
96	0	0	1	0	1	0	0	1	0	2	1	2	1	1	1	0	2	0	1	1	4
97	0	0	0	0	2	1	0	1	0	2	1	1	2	0	2	0	1	0	0	1	1
98	0	1	0	2	1	0	1	2	0	0	0	1	1	2	2	0	0	0	0	1	1
99	0	2	0	2	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	2	5
100	0	0	0	1	1	1	0	2	0	1	2	1	2	1	2	1	1	1	0	0	0
101	0	0	0	0	1	1	0	1	0	0	0	0	1	1	2	0	0	0	2	2	8
102	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	2	1	7
103	1	1	0	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	0	0
104	1	1	1	2	1	0	0	1	0	0	1	0	1	2	2	1	1	0	0	0	0
105	0	0	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	1	4
106	0	0	0	1	0	0	0	2	0	1	1	0	0	1	0	1	0	1	0	1	1
107	1	1	1	0	2	0	0	1	0	0	0	2	1	0	1	0	1	0	1	1	4
108	0	1	1	0	2	1	0	0	0	2	2	1	1	1	1	0	1	0	1	2	5
109	0	1	1	2	0	0	0	2	0	1	0	0	2	2	1	0	1	1	1	0	3
110	2	0	0	1	1	0	0	1	0	1	1	0	1	2	0	1	0	1	1	0	3
111	0	0	0	1	1	0	0	1	0	2	2	1	1	1	0	0	1	0	1	1	4
112	1	0	0	1	0	0	0	2	0	1	0	1	1	2	0	0	2	0	1	0	3
113	0	0	0	0	1	0	0	2	0	0	0	1	2	1	0	1	1	0	2	1	7
114	0	1	0	1	1	0	0	1	0	2	0	1	0	1	0	1	0	0	0	1	1
115	0	0	1	2	0	0	0	1	1	1	0	1	2	2	1	0	0	0	2	1	7
116	0	0	0	1	2	1	0	1	0	0	2	0	0	2	0	0	1	0	1	0	3
117	0	0	1	1	2	0	1	1	0	2	0	1	1	1	0	0	1	0	2	1	7
118	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	1	1	0	1	1	4
119	0	0	1	1	0	0	0	1	0	0	0	2	1	2	0	0	1	0	1	2	5
120	0	0	0	0	1	0	1	0	0	0	1	1	2	1	2	0	2	0	1	1	4
121	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	2	0	6
122	0	0	0	2	1	0	0	1	0	2	0	0	1	1	1	0	2	1	1	1	4
123	0	0	0	1	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	2	2
124	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	1	0	0	2	0	6
125	0	0	1	1	2	0	0	2	0	1	1	0	2	2	1	0	0	0	1	1	4
126	0	0	0	1	1	0	0	1	0	2	1	2	1	1	1	1	1	1	1	1	4
127	0	1	0	0	2	0	1	1	0	0	2	1	0	1	0	0	0	0	1	1	4
128	0	0	1	1	0	1	0	0	1	0	0	0	1	0	1	1	1	0	1	2	5
129	0	0	0	2	1	0	0	1	0	1	2	2	0	0	1	0	0	0	1	1	4
130	0	0	0	1	2	1	0	0	0	0	1	0	1	1	0	0	1	0	2	0	6
131	0	0	0	0	0	0	0	1	0	1	2	1	2	1	1	1	0	1	1	2	5
132	0	0	0	1	1	0	0	2	0	0	0	1	0	0	1	0	0	0	2	0	6
133	0	0	1	1	2	0	0	1	0	0	1	2	0	0	1	0	0	0	1	2	5
134	0	0	2	1	2	0	0	0	0	0	2	0	1	1	1	0	1	1	2	1	7
135	0	1	1	1	0	0	0	2	0	1	0	0	2	2	1	0	0	0	0	1	1
136	0	0	0	0	2	0	0	1	0	0	1	1	0	1	2	0	0	0	1	1	4
137	1	0	0	1	1	1	1	0	0	0	1	0	2	1	2	1	0	1	1	1	4
138	0	0	0	1	0	1	0	2	1	1	1	0	0	1	0	1	1	0	0	1	1
139	0	0	0	1	0	0	0	1	0	0	2	0	1	0	1	0	0	0	2	2	8
140	0	0	0	0	0	0	0	2	1	1	2	1	0	1	2	0	1	0	0	2	2
141	0	2	1	0	2	0	1	0	0	0	0	1	0	2	2	0	0	0	2	1	7
142	0	0	0	1	0	0	0	2	0	1	2	0	1	0	1	0	0	0	2	0	6
143	0	0	0	1	1	0	1	0	0	0	0	1	2	1	0	0	1	1	2	2	8
144	1	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	2	0	2	1	7
145	0	0	0	2	2	0	0	2	1	2	0	2	0	1	2	0	0	0	2	1	7
146	1	0	0	2	0	0	0	1	0	0	2	0	0	0	2	0	1	0	1	2	5
147	0	0	0	1	1	0	0	1	0	0	1	0	2	2	1	0	0	1	1	1	4
148	0	0	0	1	2	0	1	2	0	0	1	0	2	2	0	0	0	0	1	1	4
149	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	1	2	5
150	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	1	2	1	7
151	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	2	2
152	0	1	0	0	2	0	0	1	0	2	1	0	1	1	0	0	1	0	2	0	6
153	0	0	0	2	1	0	0	2	0	2	0	1	0	0	1	0	0	1	0	0	0
154	0	0	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	1	1	4
155	0	2	0	1	0	1	1	0	0	0	2	0	1	0	2	0	1	0	1	2	5
156	1	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	1	1
157	0	1	0	0	2	0	0	2	0	1	0	1	1	1	1	0	2	1	1	2	5
158	0	0	0	1	2	0	0	1	0	2	0	1	1	0	1	0	1	0	1	2	5
159	0	2	0	2	0	0	1	1	0	0	2	2	0	0	1	1	0	0	0	0	0
160	0	0	0	1	0	0	2	2	0	2	1	1	1	1	1	0	1	0	0	0	0
161	0	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	0	0	1	2	5
162	0	0	0	1	0	0	0	0	0	1	1	1	1	1	2	0	0	0	2	1	7
163	0	1	0	2	1	0	1	2	0	0	0	0	1	2	0	0	0	0	0	1	1
164	0	1	0	0	1	0	0	1	0	0	2	2	1	1	0	1	0	0	2	1	7
165	0	1	1	1	2	0	0	1	0	0	1	2	0	1	0	0	1	1	1	1	4
166	0	0	0	1	1	0	0	1	0	2	0	2	0	1	0	0	2	0	2	1	7
167	0	0	0	1	0	0	0	2	0	0	1	1	1	2	0	0	0	0	0	1	1
168	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1
169	1	0	1	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	3
170	0	0	1	0	1	0	0	1	0	0	1	0	1	0	2	0	0	0	2	2	8
171	0	1	1	0	2	0	0	1	0	0	2	1	2	0	0	0	2	0	1	1	4
172	1	0	1	1	1	0	0	1	0	2	1	1	0	0	1	0	1	0	2	2	8
173	0	0	0	2	0	0	1	1	0	0	1	1	2	1	0	1	0	2	0	0	0
174	0	0	0	1	0	0	1	0	0	1	1	1	1	0	1	0	0	0	2	1	7
175	0	1	0	1	1	0	2	1	0	0	0	1	0	1	0	1	1	1	1	1	4
176	0	0	0	2	0	0	1	0	1	0	0	1	2	0	0	0	1	1	2	1	7
177	1	0	1	1	1	0	0	1	0	0	0	0	2	1	0	0	1	0	2	1	7
178	0	0	0	1	2	0	0	2	0	1	1	1	1	0	1	0	0	0	2	1	7
179	1	0	0	1	1	0	1	1	0	0	1	0	0	1	2	1	0	0	1	0	3
180	0	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	0	1	1	4
181	0	0	0	0	1	0	1	1	0	1	0	2	1	2	1	0	1	1	1	1	4
182	1	0	0	0	1	0	0	1	0	1	1	1	2	1	2	0	0	0	1	0	3
183	0	1	0	0	2	0	1	1	0	0	0	1	0	1	1	1	1	0	0	2	2
184	0	1	0	1	2	0	0	2	0	0	0	2	1	0	1	0	2	1	1	0	3
185	0	0	0	1	0	0	0	1	0	1	0	1	1	1	2	1	0	0	0	1	1
186	0	1	1	1	1	0	0	0	0	0	1	0	2	0	1	0	1	0	1	2	5
187	0	0	0	1	0	0	0	1	0	2	0	1	1	0	1	0	1	0	0	1	1
188	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	2	0	0	1	1
189	0	2	0	1	2	0	0	1	0	0	1	2	2	1	1	0	1	1	1	0	3
190	0	1	0	2	1	0	0	0	0	0	1	1	2	0	1	1	0	0	1	1	4
191	0	1	0	1	0	0	1	1	0	0	1	2	1	0	0	0	0	0	1	2	5
192	0	0	0	1	0	0	0	0	1	1	0	1	1	1	1	1	2	1	0	1	1
193	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	4
194	0	0	0	0	1	0	1	1	0	1	0	1	1	1	0	0	1	1	0	1	1
195	0	1	0	1	2	0	0	1	0	0	0	1	0	1	0	0	0	0	2	2	8
196	0	1	0	1	0	0	0	1	0	0	0	1	2	0	0	0	1	0	1	1	4
197	1	0	1	2	0	0	0	1	1	0	2	0	1	1	0	0	0	0	0	1	1
198	1	1	0	0	1	0	0	2	0	0	1	1	2	0	0	0	1	0	1	2	5
199	0	0	0	1	1	0	1	1	0	1	1	2	1	1	2	1	1	0	1	1	4
200	0	2	0	1	0	0	0	1	0	0	0	2	0	2	0	1	0	1	2	2	8
201	1	1	0	1	2	1	1	1	0	0	1	0	1	0	1	0	1	1	2	2	8
202	1	1	1	1	1	1	2	0	0	0	1	0	2	2	0	1	1	0	1	2	5
203	1	1	1	0	1	0	1	0	0	0	0	1	0	1	1	0	2	1	1	2	5
204	0	1	1	0	0	1	1	1	0	1	0	1	1	1	1	0	1	0	2	0	6
205	0	1	1	0	1	0	1	0	0	2	0	0	0	0	2	1	1	1	1	1	4
206	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	2	2	8
207	1	1	0	2	0	0	0	1	1	1	2	2	1	1	1	0	0	0	2	0	6
208	0	0	0	2	1	0	0	0	0	2	1	1	0	1	1	0	0	1	1	1	4
209	0	0	0	1	1	0	0	1	1	1	1	2	1	2	0	0	1	0	0	1	1
210	0	1	0	2	2	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0
211	1	1	0	1	2	1	1	1	0	0	0	2	2	1	0	0	1	0	2	1	7
212	0	1	0	0	0	0	1	2	0	0	0	0	2	2	1	2	0	0	1	1	4
213	0	0	0	2	1	0	1	1	1	2	0	1	1	2	1	0	1	1	2	1	7
214	0	0	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	2	2	8
215	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	2	1	0	3
216	0	0	0	0	2	0	0	2	1	1	2	0	1	1	1	0	0	0	1	1	4
217	0	0	0	1	2	0	0	2	0	2	1	1	1	1	0	0	2	0	2	0	6
218	1	0	0	1	0	0	0	1	0	0	1	1	0	1	2	0	0	0	2	2	8
219	0	1	0	0	0	0	0	1	0	1	0	0	2	1	1	1	0	0	1	0	3
220	0	0	0	2	0	1	1	1	0	0	0	1	1	1	1	0	1	1	0	0	0
221	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	1	4
222	1	0	1	1	2	0	1	0	0	1	1	1	1	0	2	0	0	0	0	1	1
223	0	0	1	1	0	0	0	1	0	0	0	1	0	2	2	0	1	0	2	0	6
224	0	0	0	1	1	0	1	0	0	1	1	0	0	2	0	1	2	0	1	1	4
225	0	0	0	1	0	0	0	2	0	1	0	1	1	1	0	0	1	0	2	1	7
226	0	0	0	2	2	0	0	2	0	0	0	1	2	0	1	0	1	0	0	1	1
227	0	0	0	2	0	1	2	2	0	0	0	2	1	0	0	2	2	1	1	2	5
228	0	0	1	1	1	1	0	1	0	2	0	0	0	0	0	1	1	0	2	0	6
229	0	1	0	0	1	0	1	2	0	0	0	2	1	2	0	0	1	0	1	0	3
230	0	1	1	2	1	0	0	0	0	0	0	1	0	1	1	1	1	0	1	2	5
231	1	1	0	0	0	0	0	1	0	1	0	2	1	0	1	1	1	0	0	1	1
232	0	0	0	0	1	0	0	2	0	1	0	1	1	1	2	1	1	0	1	1	4
233	0	0	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	0	1	2	5
234	0	0	0	2	1	0	1	1	0	1	1	2	1	1	1	1	2	1	0	2	2
235	0	0	0	0	1	0	1	1	0	1	1	0	0	0	2	1	1	0	1	2	5
236	1	0	1	2	0	1	0	0	0	0	0	1	1	1	2	1	0	0	2	2	8
237	0	1	0	0	1	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	4
238	0	0	0	2	2	1	1	2	0	0	1	1	2	0	0	0	0	0	2	0	6
239	0	1	0	1	1	1	1	0	0	1	0	1	1	2	2	1	2	2	2	2	8
240	0	0	1	1	2	1	0	0	0	0	2	1	0	1	1	0	0	1	0	2	2
241	0	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	1	1
242	0	0	0	2	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0
243	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	0	0	1	0	3
244	0	1	1	0	1	0	0	0	0	1	1	1	1	1	0	0	0	1	2	2	8
245	1	0	0	1	2	0	1	1	0	1	1	0	2	0	0	1	0	1	1	0	3
246	1	0	0	2	1	0	0	2	0	0	1	1	0	2	2	0	0	1	1	1	4
247	1	0	0	2	0	0	0	1	0	1	1	0	1	2	1	0	0	0	2	1	7
248	0	0	0	2	0	0	0	1	0	1	2	1	1	0	1	0	0	0	2	1	7
249	0	0	0	0	0	0	1	2	1	1	1	1	0	1	0	0	1	0	1	0	3
250	0	0	0	0	2	0	1	0	0	0	1	1	0	0	1	0	0	0	1	1	4
251	0	0	0	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	0	3
252	1	1	0	0	2	0	1	1	0	0	2	0	1	1	1	0	0	0	2	0	6
253	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	0	2	0	1	1	4
254	0	0	0	2	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0
255	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	2	1	7
256	0	1	1	2	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	4
257	0	1	0	0	1	1	1	2	1	1	1	1	1	0	1	0	1	0	2	1	7
258	0	0	0	2	1	0	0	1	0	1	1	0	0	2	0	0	2	0	1	1	4
259	0	0	1	1	2	0	1	1	0	1	1	0	0	1	0	1	1	0	1	2	5
260	1	0	0	0	0	1	0	2	0	0	1	1	1	0	1	0	1	1	2	1	7
261	0	1	0	1	2	0	0	2	0	2	0	1	0	1	1	0	0	1	2	1	7
262	0	0	0	1	1	0	0	1	1	1	0	1	1	2	2	0	2	0	1	2	5
263	0	1	0	1	1	1	0	0	0	1	2	1	2	1	0	0	2	1	1	1	4
264	1	0	0	1	1	0	1	2	1	0	0	1	0	1	1	0	1	0	1	0	3
265	1	1	1	2	2	0	0	1	0	1	1	1	1	0	0	1	0	1	1	0	3
266	1	0	0	1	0	0	1	2	0	1	1	1	0	0	1	1	1	0	2	2	8
267	2	0	0	2	0	0	0	2	0	0	1	1	0	1	2	1	0	0	1	2	5
268	2	1	0	1	1	0	1	2	0	0	1	1	1	1	0	0	1	0	2	2	8
269	0	1	0	1	0	1	1	1	0	2	1	2	1	2	2	0	1	1	1	1	4
270	0	1	1	2	2	0	0	2	0	2	1	1	0	0	0	0	1	1	1	1	4
271	0	1	1	2	0	0	1	2	0	0	0	1	1	1	2	1	0	1	2	1	7
272	0	0	0	1	2	0	0	1	0	1	0	2	2	0	0	1	0	0	2	1	7
273	0	0	0	0	1	0	2	2	0	0	1	2	1	1	1	1	0	0	2	0	6
274	0	1	0	0	0	0	1	0	1	1	0	0	2	1	1	0	0	0	2	1	7
275	0	0	0	0	2	0	0	2	0	0	0	2	1	0	2	0	0	1	2	0	6
276	1	0	0	1	1	0	0	0	0	2	2	1	0	2	1	1	0	0	1	1	4
277	0	1	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	1	1
278	0	1	0	0	2	0	1	1	0	0	0	1	0	1	0	1	1	0	1	2	5
279	0	2	0	0	1	0	0	2	0	0	0	1	0	1	2	0	0	0	1	1	4
280	1	1	0	2	1	0	1	2	0	0	1	0	1	2	2	1	1	0	1	1	4
281	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	1	1	2	1	7
282	0	0	0	2	0	0	0	2	0	0	0	0	2	1	1	0	1	0	0	2	2
283	0	0	0	1	1	0	0	0	0	1	0	2	0	0	0	0	1	1	1	2	5
284	0	0	0	0	1	0	0	1	0	0	0	1	1	2	0	0	0	1	0	1	1
285	1	1	0	2	2	0	0	1	0	0	0	1	1	1	1	0	0	0	2	1	7
286	0	1	0	2	0	0	0	1	0	1	1	2	1	0	1	0	1	1	0	1	1
287	0	0	0	0	2	0	2	1	0	0	1	2	1	1	1	0	0	1	1	2	5
288	0	0	0	0	1	0	0	2	0	0	1	0	0	1	2	0	2	0	2	2	8
289	0	1	0	1	1	0	1	1	0	1	0	2	0	1	0	0	1	1	1	1	4
290	0	1	0	1	1	0	0	2	1	1	0	1	2	2	1	1	1	1	1	1	4
291	0	1	0	0	2	0	0	1	0	0	1	1	0	2	1	1	0	0	1	2	5
292	0	0	0	2	1	0	0	1	0	0	2	1	0	0	1	0	2	0	1	1	4
293	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	0	1	0	1	0	3
294	0	0	0	0	0	0	1	0	1	1	2	1	1	0	0	1	1	1	2	1	7
295	1	0	0	1	0	0	0	0	0	0	1	2	1	1	1	0	1	0	1	1	4
296	0	0	1	2	0	0	0	1	0	1	2	1	0	0	2	0	1	0	1	2	5
297	0	1	0	2	2	0	0	1	0	0	1	1	0	1	1	0	0	0	2	1	7
298	0	0	0	2	2	0	0	1	0	0	0	1	1	1	0	1	0	1	2	0	6
299	0	0	0	1	0	0	0	1	1	0	1	2	2	0	0	0	2	0	0	2	2
300	0	2	0	1	1	0	0	1	0	0	1	1	2	1	0	0	0	0	1	2	5
301	0	1	0	2	0	0	0	1	1	0	1	1	1	1	1	2	0	0	1	1	4
302	1	1	0	1	2	0	1	1	1	0	1	2	1	1	1	0	2	1	1	1	4
303	0	1	1	0	0	0	0	1	0	0	1	2	0	0	0	0	1	0	0	1	1
304	0	1	0	2	1	0	0	1	0	0	0	1	0	1	1	0	1	2	1	0	3
305	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0
306	0	0	1	0	2	0	0	1	0	0	0	1	1	1	0	0	1	0	1	2	5
307	0	0	0	1	1	0	0	1	0	1	2	2	2	1	1	0	1	0	1	2	5
308	1	0	0	1	0	0	1	1	0	1	1	0	2	2	2	1	0	0	1	1	4
309	0	0	0	1	0	0	0	2	0	0	0	1	1	1	2	0	1	1	1	0	3
310	0	1	0	1	1	0	0	1	0	1	1	0	0	2	1	0	1	0	1	0	3
311	0	1	0	1	1	0	0	1	0	0	0	2	0	1	0	1	1	0	2	2	8
312	0	0	0	1	1	0	0	2	0	1	0	1	0	2	0	0	0	1	0	1	1
313	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	1	1	4
